sample_id,trajectory_id,repo,step_idx,step_text,predicted_class,human_label
57,chatcmpl-146b1ecc61dc1083adeae818b709a0f9,python-pillow/Pillow,14,"[execute_bash] cd /workspace/python-pillow__Pillow__9.4 && python -c ""from PIL import Image; print('PIL imported successfully')""",other,
58,chatcmpl-456044bf2457cc8d0908b9cf81f1efc0,exo-lang/exo,12,[str_replace_editor:view] /workspace/exo-lang__exo__0.0/src/exo/API_scheduling.py,read_only,
59,chatcmpl-688fc0118650754d55e9bb177a3d35e6,googleapis/python-firestore,54,[str_replace_editor:view] /workspace/googleapis__python-firestore__2.0/tests/unit/v1/test_client.py,read_only,
60,chatcmpl-6ecc18555065d94544fde3a0023aa1c4,European-XFEL/EXtra-data,114,[execute_bash] cd /workspace/European-XFEL__EXtra-data__1.10 && python3 -m pytest extra_data/tests/test_writer.py -v,test_run,
61,chatcmpl-75ec3b6fb08d6971ffb271444c92cad3,jlusiardi/tlv8_python,44,[execute_bash] cd /workspace/jlusiardi__tlv8_python__0.8 && python debug_issue2.py,test_run,
62,chatcmpl-7c96ffcfa32fc2e073d130941a8e4e8c,pytorch/ignite,100,[finish],other,
63,chatcmpl-9c8120ce17b4fa8abac8be007c6f15c4,getsentry/sentry-python,12,[str_replace_editor:view] /workspace/getsentry__sentry-python__1.0/CONTRIBUTING.md,read_only,
64,chatcmpl-493db44d43fc61c311334af404ed2594,dwavesystems/dwave-system,60,[think] Let me clearly state what I understand:  **Problem**: The current `order_by` exp,other,
65,chatcmpl-a816394bac63032fcf7cc0dad7259bb6,nipy/nipype,56,[str_replace_editor:create] /workspace/nipy__nipype__0.13/reproduce_issue.py,edit,
66,chatcmpl-06f5a7e7866f14ed76cedc7c8da33afb,peterbe/hashin,58,[str_replace_editor:str_replace] /workspace/peterbe__hashin__unknown/reproduce_issue.py,edit,
67,chatcmpl-ce86f168e4ba7b7daffb44eea615b5ed,marcosschroh/dataclasses-avroschema,146,[task_tracker] view,other,
68,chatcmpl-fb04f60ce4bd9807c484a8552a5985fe,Textualize/textual,42,"[execute_bash] cd /workspace/Textualize__textual__0.13 && grep -A 20 ""_character_to_key"" src/textual/keys.py",read_only,
69,chatcmpl-27c62d14164b98ff92fd074ffe0c0ace,matthewryanscott/CarlAdam,84,[str_replace_editor:create] /workspace/matthewryanscott__CarlAdam__unknown/examples/understanding_petri_nets/figure_1_5.py,edit,
70,chatcmpl-a59dfad402ed57c19417ab4b8bb54631,tobymao/sqlglot,52,[str_replace_editor:view] /workspace/tobymao__sqlglot__11.4/sqlglot/parser.py,read_only,
71,chatcmpl-67b42c682da7c0ef8a69fdf5e073f750,repobee/repobee-csvgrades,8,[str_replace_editor:view] /workspace/repobee__repobee-csvgrades__0.2/README.md,read_only,
72,chatcmpl-07ff9ec071ed4ac7f060a572839852d2,kedro-org/kedro,86,[task_tracker] plan,other,
73,chatcmpl-33875d95ad9093718e0f98af8b059a5f,cdent/gabbi,76,"[execute_bash] cd /workspace/cdent__gabbi__1.39 && python -m unittest discover -s gabbi.tests -k ""test_response_headers"" -v",test_run,
74,chatcmpl-9ab37aab19f41b31b116cde1b04bb819,ansible/ansible-runner,166,[str_replace_editor:view] /workspace/ansible__ansible-runner__2.3/src/ansible_runner/runner.py,read_only,
75,chatcmpl-d04dc9547c0edc2228fd7cde4155eeea,pycontribs/jenkinsapi,130,"[execute_bash] cd /workspace/pycontribs__jenkinsapi__0.3 && python -m pytest jenkinsapi_tests/unittests/test_build.py -k ""env_vars"" -v",test_run,
76,chatcmpl-263c79837f07a50ec13e25aa4d111d79,graphql-python/graphene,20,[str_replace_editor:view] /workspace/graphql-python__graphene__2.1/graphene/relay/tests/test_node.py,read_only,
77,chatcmpl-25ca9586d5060839231c64177e490287,pdm-project/pdm,176,"[execute_bash] cd /tmp/final_test && PYTHONPATH=/workspace/pdm-project__pdm__2.22/src python -c ""import sys; print(sys.path)""",other,
78,chatcmpl-44e56a3a7b5aac31f59f106b66d3777e,PyFilesystem/pyfilesystem2,30,"[execute_bash] cd /workspace/PyFilesystem__pyfilesystem2__2.4 && grep -A 10 ""class OperationFailed"" fs/errors.py",read_only,
79,chatcmpl-8df6b63d09ecaa6930dc56cce94b0919,joke2k/faker,64,[execute_bash] cd /workspace/joke2k__faker__2.0 && git status,read_only,
80,chatcmpl-0b5638581e13d7245dba67669f38692d,bugsnag/bugsnag-python,84,[str_replace_editor:view] /workspace/bugsnag__bugsnag-python__4.4/bugsnag/event.py,read_only,
81,chatcmpl-931200b7efcd6896b89505bd2dca81f1,jboss-dockerfiles/dogen,32,[str_replace_editor:view] /workspace/jboss-dockerfiles__dogen__2.0/dogen/schema/kwalify_schema.yaml,read_only,
82,chatcmpl-741037a16240ea04ddfd0fd6068b3e9f,pydicom/pydicom,134,[str_replace_editor:view] /workspace/pydicom__pydicom__2.4/src/pydicom/pixels/utils.py,read_only,
83,chatcmpl-14ff69483d8ef7020610c3aa69eb5981,andersbogsnes/ml_tooling,106,[str_replace_editor:str_replace] /workspace/andersbogsnes__ml_tooling__0.10/src/ml_tooling/data/sql.py,edit,
84,chatcmpl-a08985503c8756631abfd75995a5b79b,pytorch/ignite,100,[str_replace_editor:str_replace] /workspace/pytorch__ignite__0.4/ignite/handlers/checkpoint.py,edit,
85,chatcmpl-38a3dc76c0b0da7a5def6f6ab2d14889,kinverarity1/lasio,56,[execute_bash] cd /workspace/kinverarity1__lasio__0.25 && python test_copy.py,test_run,
86,chatcmpl-d9cb5eeb9c467cf00330356b7e65391b,reata/sqllineage,76,[execute_bash] cd /workspace/reata__sqllineage__0.1 && git stash,other,
87,chatcmpl-d975cbfa0ffbc3bc1f2b65740d2532a6,robotframework/SeleniumLibrary,100,[str_replace_editor:create] /workspace/verify_fix.py,edit,
88,chatcmpl-a7a27d208d0153f54c6be2999a7b1105,pytest-dev/execnet,32,"[execute_bash] cd /workspace/pytest-dev__execnet__2.1 && grep -n ""def load.*str\|STRING\|PY3STRING\|M\b"" src/execnet/gateway_base.py",read_only,
89,chatcmpl-c53d9462f679017413386dcf8183c91a,Aarhus-Psychiatry-Research/timeseriesflattener,72,[execute_bash] cd /workspace/Aarhus-Psychiatry-Research__timeseriesflattener__0.23 && python minimal_pydantic_test.py,test_run,
90,chatcmpl-926c8cb16ff26d16da0e94612c44f9fd,NCAS-CMS/cf-python,34,[str_replace_editor:view] /workspace/NCAS-CMS__cf-python__3.13/cf/data/data.py,read_only,
91,chatcmpl-2c57e5eaa279ffa62200d309ba6bd923,ergo/pyramid_apispec,12,[str_replace_editor:view] /workspace/ergo__pyramid_apispec__0.4/pyramid_apispec,read_only,
92,chatcmpl-7c6802ee01c53ce6c45a5804c02e70cf,h2non/jsonpath-ng,16,[str_replace_editor:view] /workspace/h2non__jsonpath-ng__1.5/jsonpath_ng/ext/string.py,read_only,
93,chatcmpl-1fe8f54589dc2a303267ecc4f090f655,peterbe/hashin,76,[execute_bash] cd /workspace/peterbe__hashin__unknown && python debug_test3.py,test_run,
94,chatcmpl-6e20f913db1ac60ffc5ecd21e82955cc,GenericMappingTools/pygmt,2,[think] Let me carefully read and analyze the issue description:  1.1 Code snippets anal,other,
95,chatcmpl-253142a89f389d3ac9dc690fd11bedbc,Ouranosinc/xclim,26,[str_replace_editor:view] /workspace/Ouranosinc__xclim__0.10/xclim/utils.py,read_only,
96,chatcmpl-6fb14287c6794ace88de3db5aca203eb,kangasta/fdbk,166,[str_replace_editor:str_replace] /workspace/kangasta__fdbk__3.1/fdbk/data_tools/_utils.py,edit,
97,chatcmpl-c64a4e6e45bc627ebc6b7ddbdfff8444,conan-io/conan,38,[str_replace_editor:view] /workspace/conan-io__conan__1.13/conans/client/command.py,read_only,
98,chatcmpl-9b444d231d2e066263f13bdca290491c,encode/httpx,42,[execute_bash] cd /workspace/encode__httpx__0.12 && python reproduce_issue.py,test_run,
99,chatcmpl-da6d4a98a2c2547630f5f94e8886eff6,Backblaze/B2_Command_Line_Tool,100,[execute_bash] cd /workspace/Backblaze__B2_Command_Line_Tool__1.1 && python -m pytest test/test_scan_policies.py test/test_sync.py::TestSync test/test_sync.py::TestArgs -v,test_run,
100,chatcmpl-0d8d14e681b9e4245bbe8747113fb5a9,mozman/steputils,116,"[execute_bash] cd /workspace/mozman__steputils__0.12 && find data/ -name ""*.*"" | grep -E ""\.(stp|step)$"" | head -3",read_only,
